date,FXAUDCAD,FXBRLCAD,FXCNYCAD,FXEURCAD,FXHKDCAD,FXINRCAD,FXIDRCAD,FXJPYCAD,FXMYRCAD,FXMXNCAD,FXNZDCAD,FXNOKCAD,FXPENCAD,FXRUBCAD,FXSARCAD,FXSGDCAD,FXZARCAD,FXKRWCAD,FXSEKCAD,FXCHFCAD,FXTWDCAD,FXTHBCAD,FXTRYCAD,FXGBPCAD,FXUSDCAD,FXVNDCAD
2017-01-03,0.9702,0.4121,0.193,1.3973,0.1732,0.01965,1e-4,0.0114,0.2991,0.06439,0.9295,0.1551,0.3976,0.0221,0.3582,0.9264,0.0974,0.001112,0.1465,1.3064,0.0415,0.03739,0.3744,1.6459,1.3435,5.9e-5
2017-01-04,0.9678,0.4129,0.192,1.393,0.1717,0.01959,9.9e-5,0.01134,0.2961,0.06242,0.9251,0.1546,0.393,0.022,0.355,0.924,0.09767,0.001111,0.146,1.3005,0.04141,0.03717,0.3722,1.6377,1.3315,5.9e-5
2017-01-05,0.9708,0.4133,0.1922,1.4008,0.1708,0.01954,9.9e-5,0.01145,0.2953,0.06195,0.9285,0.1555,0.393,0.02225,0.3531,0.926,0.09743,0.001118,0.1468,1.3083,0.04161,0.03709,0.3674,1.64,1.3244,5.8e-5
2017-01-06,0.9668,0.4116,0.1911,1.3953,0.1706,0.01942,9.9e-5,0.01133,0.2957,0.06213,0.923,0.1551,0.3921,0.02222,0.3526,0.9202,0.09647,0.001103,0.1461,1.302,0.04131,0.03704,0.364,1.6275,1.3214,5.9e-5
2017-01-09,0.9728,0.4135,0.1907,1.3967,0.1706,0.01942,9.9e-5,0.01138,0.2955,0.06202,0.9276,0.1546,0.3917,0.02209,0.3527,0.9214,0.09681,0.0011,0.146,1.302,0.04129,0.03709,0.3557,1.6084,1.324,5.9e-5
2017-01-10,0.9732,0.414,0.1909,1.397,0.1704,0.01936,9.9e-5,0.01141,0.2954,0.06113,0.9236,0.1538,0.3901,0.022,0.3524,0.9206,0.09651,0.001102,0.1458,1.3012,0.04137,0.03716,0.3499,1.6075,1.3213,5.9e-5
2017-01-11,0.9788,0.4121,0.1905,1.3916,0.1704,0.01934,9.9e-5,0.0114,0.2955,0.0604,0.9274,0.1536,0.3907,0.02199,0.3523,0.9214,0.09568,0.001105,0.1455,1.2976,0.04147,0.03719,0.3396,1.6056,1.325,5.9e-5
2017-01-12,0.9842,0.4127,0.1903,1.3966,0.1692,0.01928,9.9e-5,0.01148,0.2943,0.06041,0.9348,0.1542,0.3893,0.02211,0.3498,0.921,0.09738,0.001117,0.1469,1.3008,0.04161,0.03713,0.3485,1.6024,1.3106,5.8e-5
2017-01-13,0.9831,0.4089,0.1903,1.3967,0.1694,0.01927,9.9e-5,0.01144,0.2944,0.06075,0.9339,0.1545,0.3906,0.02203,0.3502,0.9188,0.09722,0.001116,0.1473,1.3016,0.04159,0.03708,0.3501,1.5996,1.3141,5.8e-5
2017-01-16,0.9837,0.4073,0.1907,1.395,0.1697,0.01932,9.8e-5,0.01153,0.2947,0.06075,0.9345,0.1542,0.3906,0.02201,0.3509,0.9206,0.09631,0.001111,0.147,1.3013,0.04156,0.03715,0.3463,1.5865,1.3152,5.8e-5
2017-01-17,0.9856,0.4065,0.1905,1.397,0.1683,0.01922,9.8e-5,0.01156,0.2926,0.06055,0.9394,0.1543,0.389,0.02201,0.3481,0.9212,0.09681,0.001122,0.1467,1.303,0.04159,0.03699,0.3463,1.616,1.3057,5.8e-5
2017-01-18,0.9933,0.4086,0.1925,1.4052,0.1697,0.01932,9.9e-5,0.0116,0.2962,0.06033,0.945,0.1555,0.3911,0.02219,0.351,0.9246,0.09729,0.001123,0.1475,1.3119,0.0417,0.03727,0.3483,1.6192,1.3099,5.8e-5
2017-01-19,1.0051,0.4158,0.1938,1.4159,0.1717,0.01955,1e-4,0.01157,0.2994,0.06075,0.9551,0.1572,0.3983,0.02227,0.3551,0.9325,0.09786,0.00113,0.1484,1.3197,0.04211,0.0376,0.3476,1.6399,1.3303,5.9e-5
