date,W.BCPI,W.BCNE,W.ENER,W.MTLS,W.FOPR,W.AGRI,W.FISH
1972-01-12,100,100,100,100,100,100,100
1972-01-19,100,100,100,100,100,100,100
1972-01-26,100,100,100,100,100,100,100
1972-02-02,100.16,100.21,99.91,100.29,100.05,100.48,95.56
1972-02-09,100.4,100.53,99.78,100.74,100.12,101.2,88.89
1972-02-16,100.4,100.53,99.78,100.74,100.12,101.2,88.89
1972-02-23,100.4,100.53,99.78,100.74,100.12,101.2,88.89
1972-03-01,100.54,100.7,99.84,100.87,100.14,101.47,90.9
1972-03-08,101.11,101.35,100.05,101.38,100.24,102.53,98.97
1972-03-15,101.11,101.35,100.05,101.38,100.24,102.53,98.97
1972-03-22,101.11,101.35,100.05,101.38,100.24,102.53,98.97
1972-03-29,101.11,101.35,100.05,101.38,100.24,102.53,98.97
1972-04-05,101.14,101.41,99.92,101.28,100.66,102.26,101.45
1972-04-12,101.16,101.45,99.84,101.21,100.95,102.08,103.1
1972-04-19,101.16,101.45,99.84,101.21,100.95,102.08,103.1
1972-04-26,101.16,101.45,99.84,101.21,100.95,102.08,103.1
1972-05-03,101.59,101.96,99.94,101.24,101.77,102.95,93.02
1972-05-10,101.88,102.3,100,101.25,102.32,103.53,86.3
1972-05-17,101.88,102.3,100,101.25,102.32,103.53,86.3
1972-05-24,101.88,102.3,100,101.25,102.32,103.53,86.3
1972-05-31,101.88,102.3,100,101.25,102.32,103.53,86.3
1972-06-07,102.1,102.53,100.16,100.87,102.94,103.65,90.7
1972-06-14,102.1,102.53,100.16,100.87,102.94,103.65,90.7
1972-06-21,102.1,102.53,100.16,100.87,102.94,103.65,90.7
1972-06-28,102.1,102.53,100.16,100.87,102.94,103.65,90.7
1972-07-05,103.06,103.69,100.26,100.7,104.18,105.58,94.73
1972-07-12,103.7,104.46,100.32,100.59,105,106.87,97.42
1972-07-19,103.7,104.46,100.32,100.59,105,106.87,97.42
1972-07-26,103.7,104.46,100.32,100.59,105,106.87,97.42
1972-08-02,104.15,104.92,100.68,100.82,105.05,107.89,98.86
1972-08-09,104.81,105.61,101.21,101.18,105.13,109.42,101.03
1972-08-16,104.81,105.61,101.21,101.18,105.13,109.42,101.03
1972-08-23,104.81,105.61,101.21,101.18,105.13,109.42,101.03
1972-08-30,104.81,105.61,101.21,101.18,105.13,109.42,101.03
1972-09-06,105.6,106.59,101.21,102.52,105.27,110.89,104.96
1972-09-13,105.8,106.83,101.21,102.86,105.31,111.26,105.94
1972-09-20,105.8,106.83,101.21,102.86,105.31,111.26,105.94
1972-09-27,105.8,106.83,101.21,102.86,105.31,111.26,105.94
1972-10-04,106.21,107.34,101.18,102.76,106.24,111.78,106.72
1972-10-11,106.49,107.68,101.16,102.69,106.86,112.13,107.24
1972-10-18,106.49,107.68,101.16,102.69,106.86,112.13,107.24
1972-10-25,106.49,107.68,101.16,102.69,106.86,112.13,107.24
1972-11-01,106.75,107.99,101.24,102.55,106.9,112.94,111.16
1972-11-08,107.78,109.19,101.58,102.02,107.05,116.16,126.87
1972-11-15,107.78,109.19,101.58,102.02,107.05,116.16,126.87
1972-11-22,107.78,109.19,101.58,102.02,107.05,116.16,126.87
1972-11-29,107.78,109.19,101.58,102.02,107.05,116.16,126.87
1972-12-06,109.82,111.7,101.63,102.5,107.05,123.51,117.78
1972-12-13,110.33,112.33,101.64,102.62,107.05,125.35,115.5
1972-12-20,110.33,112.33,101.64,102.62,107.05,125.35,115.5
1972-12-27,110.33,112.33,101.64,102.62,107.05,125.35,115.5
1973-01-03,112.78,114.98,103.24,105.14,108.16,129.63,123.57
1973-01-10,114.42,116.75,104.3,106.83,108.9,132.48,128.94
1973-01-17,114.42,116.75,104.3,106.83,108.9,132.48,128.94
1973-01-24,114.42,116.75,104.3,106.83,108.9,132.48,128.94
1973-01-31,114.42,116.75,104.3,106.83,108.9,132.48,128.94
1973-02-07,117.58,120.66,104.39,111.75,114.27,134.98,110.85
1973-02-14,117.58,120.66,104.39,111.75,114.27,134.98,110.85
1973-02-21,117.58,120.66,104.39,111.75,114.27,134.98,110.85
1973-02-28,117.58,120.66,104.39,111.75,114.27,134.98,110.85
1973-03-07,122.04,126.1,104.88,120.56,122.32,136.02,108.79
1973-03-14,122.04,126.1,104.88,120.56,122.32,136.02,108.79
1973-03-21,122.04,126.1,104.88,120.56,122.32,136.02,108.79
1973-03-28,122.04,126.1,104.88,120.56,122.32,136.02,108.79
1973-04-04,123.29,127.49,105.58,122.56,124.79,135.98,112.35
1973-04-11,124.13,128.42,106.04,123.89,126.45,135.96,114.73
1973-04-18,124.13,128.42,106.04,123.89,126.45,135.96,114.73
1973-04-25,124.13,128.42,106.04,123.89,126.45,135.96,114.73
1973-05-02,126.51,131.01,107.6,125.54,127.99,140.29,113.9
1973-05-09,130.09,134.89,109.94,128,130.31,146.78,112.66
1973-05-16,130.09,134.89,109.94,128,130.31,146.78,112.66
1973-05-23,130.09,134.89,109.94,128,130.31,146.78,112.66
1973-05-30,130.09,134.89,109.94,128,130.31,146.78,112.66
1973-06-06,133.5,138.67,111.9,133.8,125.95,158.33,98.6
1973-06-13,134.35,139.62,112.39,135.25,124.86,161.21,95.09
1973-06-20,134.35,139.62,112.39,135.25,124.86,161.21,95.09
1973-06-27,134.35,139.62,112.39,135.25,124.86,161.21,95.09
1973-07-04,138.61,144.73,113.39,139.88,125.34,171.28,114.47
1973-07-11,141.44,148.14,114.06,142.97,125.66,178,127.39
1973-07-18,141.44,148.14,114.06,142.97,125.66,178,127.39
1973-07-25,141.44,148.14,114.06,142.97,125.66,178,127.39
1973-08-01,143.1,150.17,114.35,143.18,125.61,184.17,126.05
1973-08-08,149.73,158.29,115.52,144.01,125.41,208.87,120.67
1973-08-15,149.73,158.29,115.52,144.01,125.41,208.87,120.67
1973-08-22,149.73,158.29,115.52,144.01,125.41,208.87,120.67
1973-08-29,149.73,158.29,115.52,144.01,125.41,208.87,120.67
1973-09-05,148.32,155.82,117.9,144.62,127.41,197.87,124.39
1973-09-12,147.38,154.17,119.49,145.03,128.75,190.54,126.87
1973-09-19,147.38,154.17,119.49,145.03,128.75,190.54,126.87
1973-09-26,147.38,154.17,119.49,145.03,128.75,190.54,126.87
1973-10-03,146.87,153.49,119.61,148.45,129.14,185.58,127.34
1973-10-10,146.52,153.04,119.68,150.72,129.4,182.27,127.65
1973-10-17,146.52,153.04,119.68,150.72,129.4,182.27,127.65
1973-10-24,146.52,153.04,119.68,150.72,129.4,182.27,127.65
