date,weekly_bank_rate,weekly_avg_usd_vs_cad,weekly_total_bcpi,weekly_energy_bcpi,weekly_metel_bcpi
2024-11-20,4,1.3991,581.11,1260.58,798.44
2024-11-13,4,1.40075,583.39,1267.08,805.71
2024-11-06,4,1.38924,587.11,1278.57,817.23
2024-10-30,4,1.39138,577.27,1242.23,821.69
2024-10-23,4.5,1.3844,579.45,1252.1,819.47
2024-10-16,4.5,1.379175,594.3,1312.17,814.32
2024-10-09,4.5,1.36942,603.13,1341.18,817.8
2024-10-02,4.5,1.3528,577.5,1245.35,820.82
2024-09-25,4.5,1.34826,578.46,1261.89,807.16
2024-09-18,4.5,1.35814,567.03,1231.35,795.71
2024-09-11,4.5,1.35852,553.47,1188.98,779.6
2024-09-04,4.75,1.3533,574.35,1263.32,787.81
2024-08-28,4.75,1.34754,581.08,1290.56,796.73
2024-08-21,4.75,1.36002,584.73,1303.76,787.45
2024-08-14,4.75,1.37188,594.05,1345.51,772.75
2024-08-07,4.75,1.3752,575.08,1271.43,767.15
2024-07-31,4.75,1.38432,584.59,1304.33,767.94
2024-07-24,5,1.3793199999999999,601.53,1362.93,777.63
2024-07-17,5,1.36916,610.35,1405.74,791.63
2024-07-10,5,1.36288,618.05,1423.26,790.98
2024-07-03,5,1.3645,618.1,1430.68,786.92
2024-06-26,5,1.3679,618.98,1433.75,786.15
2024-06-19,5,1.3715,619.26,1424.24,786.38
2024-06-12,5,1.3745800000000001,611.57,1384.04,793.83
2024-06-05,5.25,1.36876,604.75,1346.59,806.9
2024-05-29,5.25,1.36578,620.74,1395.15,812.26
2024-05-22,5.25,1.36745,626.43,1416.67,821.47
2024-05-15,5.25,1.3635,612.61,1379.49,800.64
2024-05-08,5.25,1.36914,609.27,1369.67,792.81
2024-05-01,5.25,1.37066,615.36,1392.32,797.6
2024-04-24,5.25,1.36908,615.72,1397.15,801.67
2024-04-17,5.25,1.37782,619.2,1417.04,792.23
2024-04-10,5.25,1.36578,627.45,1447.5,781.17
2024-04-03,5.25,1.3557,616.57,1419.94,757.05
2024-03-27,5.25,1.3573,600.36,1360.32,745.93
2024-03-20,5.25,1.35598,602.06,1372.21,745.04
2024-03-13,5.25,1.35014,584.43,1304.33,744.45
2024-03-06,5.25,1.35254,583.31,1316.48,729.98
2024-02-28,5.25,1.35488,569.73,1279.77,715.87
2024-02-21,5.25,1.35045,567.42,1274.88,712.81
2024-02-14,5.25,1.35066,562.11,1254.55,709.45
2024-02-07,5.25,1.34854,555.5,1221.19,714.38
2024-01-31,5.25,1.34228,582.52,1319.71,720.09
2024-01-24,5.25,1.34722,567.98,1274.15,712.52
2024-01-17,5.25,1.34816,566.3,1272.09,715.92
2024-01-10,5.25,1.33882,563.79,1257.11,718.16
2024-01-03,5.25,1.334325,558.93,1223.51,731.82
2023-12-27,5.25,1.3214333333333332,568.98,1261.1,732.12
2023-12-20,5.25,1.33262,557.96,1227.47,726.35
2023-12-13,5.25,1.35054,546.85,1191.85,713.48
2023-12-06,5.25,1.35758,560.24,1234.01,723.8
2023-11-29,5.25,1.3579,570.24,1269.22,729.37
2023-11-22,5.25,1.36938,572.03,1277.24,726.9
2023-11-15,5.25,1.3718,571.65,1281.81,723.65
2023-11-08,5.25,1.37666,581.61,1320.78,730.33
2023-11-01,5.25,1.3808,597.56,1390.27,734.09
2023-10-25,5.25,1.37776,609.52,1436.76,729.47
2023-10-18,5.25,1.36722,620.08,1475.11,723.61
2023-10-11,5.25,1.3628,614.03,1457.82,714.52
2023-10-04,5.25,1.37175,630,1515.65,722.09
2023-09-27,5.25,1.35016,636.63,1530.54,732.03
2023-09-20,5.25,1.3458,639.5,1536.51,738.03
2023-09-13,5.25,1.35466,628.56,1488.68,735.32
2023-09-06,5.25,1.364675,625.35,1465.08,740.91
2023-08-30,5.25,1.3567,604.71,1371.16,737.66
